Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR 103806:321-B RGA,4193129,IRRI,,R,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-78,300293533,IRRI,,S,,S,S,R,S,S,
IR 99107-B-B-B-B-27,300040799,IRRI,,S,,S,S,R,S,S,
IR16A3504,4815732,IRRI,,S,,S,S,R,S,S,
IR16A3439,4815667,IRRI,,S,,S,S,R,S,S,
IR 103806:280-B RGA,4193103,IRRI,,R,,S,S,S,S,S,
IR16A3493,4815721,IRRI,,S,,S,S,R,S,S,
IR 106236-B-B-209-2-1,300256762,IRRI,,S,,S,R,R,S,S,
IR 98430-B-B-B-B-11,300035917,IRRI,,R,,S,S,R,S,S,
IR 100121-B-B-B-B-21-1-1,300256489,IRRI,,R,,S,S,R,S,S,
IR16A3518,4815746,IRRI,,S,,S,R,R,S,S,
IR15A1383,4389730,IRRI,,,,S,S,R,S,S,
IR 100097-B-B RGA-B RGA-64,300294074,IRRI,,R,,S,S,R,S,R,
IR 99993-B-B RGA-B RGA-B RGA-111,300293566,IRRI,,S,,S,S,R,S,R,
IR 99993-B-B RGA-B RGA-B RGA-113,300293568,IRRI,,R,,S,S,R,S,R,
IR 107041:36-1-1,4609631,IRRI,,R,,S,S,R,S,S,
IR 100723-B-B-B-B-7,300041295,IRRI,,R,,S,R,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-107,300293562,IRRI,,R,,S,S,R,S,R,
IR16A2932,4789278,IRRI,,R,,S,,R,S,S,
IR 103806:292-B RGA,4193113,IRRI,,S,,S,,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-348,300293803,IRRI,,R,,S,S,R,S,S,
IR15A3595,300173154,IRRI,,,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-224,300293679,IRRI,,R,,S,S,R,S,S,
IR16A3212,300234601,IRRI,,S,,S,S,S,S,S,
IR15A1904,4390052,IRRI,,S,,S,S,R,S,S,
IR 103806:263-B RGA,4194537,IRRI,,R,,S,S,R,S,S,
IR 106432-B-B-B-B-46,300233797,IRRI,,S,,S,S,R,S,S,
IR 103806:75-B RGA,4194579,IRRI,,S,,S,S,R,S,S,
IR15A2997,300167177,IRRI,,R,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-470,300293925,IRRI,,R,,S,R,R,S,S,
IR12N234,3426985,IRRI,,S,,S,S,R,S,S,
IR15A3472,300172839,IRRI,,R,,S,,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-256,300293711,IRRI,,R,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-16,300293471,IRRI,,R,,S,S,R,S,R,
IR 98380-B-B-B-B-55,300034581,IRRI,,R,,S,S,R,S,S,
IR 103806:84-B RGA,4194585,IRRI,,R,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-213,300293668,IRRI,,S,,S,S,R,S,S,
IR 107041:42-1-1,4609625,IRRI,,R,,S,S,S,S,S,
IR 100097-B-B RGA-B RGA-122,300294132,IRRI,,R,,S,S,R,S,S,
IR16A2944,4789327,IRRI,,R,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-365,300293820,IRRI,,S,,S,S,S,S,S,
IR 103328-B-B RGA-B RGA-259,300288786,IRRI,,S,,S,R,R,S,S,
IR16A2653,300431474,IRRI,,R,,S,S,R,S,S,
IR 99101-B RGA-B RGA-B RGA-112-1-1,300256575,IRRI,,R,,S,S,R,S,S,
IR 100723-B-B-B-B-70,300041358,IRRI,,S,,S,S,R,,S,
IR 108005-B-B RGA-B RGA-30,300296737,IRRI,,R,,S,S,S,S,S,
IR 99993-B-B RGA-B RGA-B RGA-192,300293647,IRRI,,S,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-188,300293643,IRRI,,R,,S,S,R,S,R,
IR 103806:111-B RGA,4194599,IRRI,,R,,S,S,R,S,S,
IR16A3253,300288602,IRRI,,R,,S,S,R,S,S,
IR 100723-B-B-B-B-66,300041354,IRRI,,S,,S,S,R,S,S,
IR16A2969,4789383,IRRI,,R,,S,S,R,S,S,
IR16A2634,300431372,IRRI,,S,,S,R,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-129,300293584,IRRI,,S,,S,S,S,S,S,
IR 100707-B-B RGA-B RGA-B RGA-252,300293227,IRRI,,R,,S,S,S,S,S,
IR 100085-B-B-B-B-17-1,300251592,IRRI,,R,,S,S,R,S,S,
IR15A2960,300167094,IRRI,,S,,S,S,R,S,S,
IR 99982-B-B-B-B-65,300038808,IRRI,,R,,S,S,R,S,S,
IR 100113-B-B-B-B-5,300038039,IRRI,,R,,S,S,R,S,S,
IR 103806:176-B RGA,4194486,IRRI,,R,,S,S,R,S,S,
IR 100097-B-B RGA-B RGA-138,300294148,IRRI,,R,,S,S,R,S,S,
IR 106454-B-B-B-B-88,300234599,IRRI,,S,,S,S,S,S,S,
IR 106454-B-B-B-B-49,300234560,IRRI,,,,S,S,,S,S,
IR 103328-B-B RGA-B RGA-171,300288698,IRRI,,S,,S,S,R,S,S,
IR 99993-B-B RGA-B RGA-B RGA-158,300293613,IRRI,,R,,S,S,R,S,S,
IR 103328-B-B RGA-B RGA-262,300288789,IRRI,,S,,S,S,R,S,S,
IR 103806:109-B RGA,4194598,IRRI,,,,S,S,R,S,S,
IR 103806-538-B RGA,4193164,IRRI,,R,,S,S,R,S,S,
IR 100085-B-B-B-B-9-1,300251584,IRRI,,S,,S,S,S,S,S,
IR16A3274,300288780,IRRI,,S,,S,R,R,S,S,
IR15A3897,300174504,IRRI,,R,,S,S,R,S,S,
IR 100722-B-B-B-B-43,300041272,IRRI,,S,,S,S,R,S,S,
IR16A2543,300430944,IRRI,,S,,S,S,S,S,S,
