Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR15A2877,300080633,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 89,4789063,IRRI,,,,,,,,,
IR 110631-B-B-B-1-1-6-1,4537077,IRRI,,,,,,,,,
IR15A3448,300172736,IRRI,,,,,,,,,
IR 100120-B-B-B-B-12,300038125,IRRI,,,,,,,,,
IR15A3361,300170990,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 9,4788983,IRRI,,,,,,,,,
IR15A2909,300080680,IRRI,,,,,,,,,
IR 100120-B-B-B-B-48,300038161,IRRI,,,,,,,,,
IR13A528,3806929,IRRI,,,,,,,,,
IR12N244,3427172,IRRI,,,,,,,,,
IR 93684-125-2-1-3-3,4228913,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 240-PRN 1,4815714,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 34-PRN 1,4815614,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 72,4789046,IRRI,,,,,,,,,
IR15F2010,300170400,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 172-PRN 1,4815689,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 166-PRN 1,4815686,IRRI,,,,,,,,,
IR11A314,3023603,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 233-PRN 1,4815711,IRRI,,,,,,,,,
IR 95519-39-3-2-2,4228945,IRRI,,,,,,,,,
IR 118289-4-56-78-B,300280734,IRRI,,,,,,,,,
IR15A3556,300173034,IRRI,,,,,,,,,
IR15A3407,300172655,IRRI,,,,,,,,,
IR 106452-B-B-B-PRN B-PRN B-PRN 29-PRN 1,4815787,IRRI,,,,,,,,,
IR12A139,3425470,IRRI,,,,,,,,,
IR12A238,3426295,IRRI,,,,,,,,,
IR15A3907,300174538,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 221-PRN 1,4815706,IRRI,,,,,,,,,
IR 106432-B-B-B-B-22,300233773,IRRI,,,,,,,,,
IR15A2875,300080631,IRRI,,,,,,,,,
IR 106452-B-B-B-PRN B-PRN B-PRN 314-PRN 1,4815892,IRRI,,,,,,,,,
IR14A145,4228944,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 16,4788990,IRRI,,,,,,,,,
IR12N146,3523254,IRRI,,,,,,,,,
IR 100121-B-B-B-B-12-1-1,300256485,IRRI,,,,,,,,,
IR 100121-B-B-B-B-23,300038216,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 41,4789015,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 245,4789219,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 3,4788977,IRRI,,,,,,,,,
IR15A2872,300080628,IRRI,,,,,,,,,
IR15A2867,300080622,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 18,4788992,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-61,300293516,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 7,4788981,IRRI,,,,,,,,,
IR 122304:8-8-6,300166961,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-21,4229239,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 37-PRN 1,4815617,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-493-1,300431123,IRRI,,,,,,,,,
IR 105479:82-13,4220023,IRRI,,,,,,,,,
IR12A293,3427061,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 25,4788999,IRRI,,,,,,,,,
IR13A242,3768891,IRRI,,,,,,,,,
IR15A2886,300080642,IRRI,,,,,,,,,
IR15A3771,300174050,IRRI,,,,,,,,,
IR15A3733,300173868,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 173-PRN 1,4815690,IRRI,,,,,,,,,
IR15T1497,300173655,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 122-PRN 1,4815662,IRRI,,,,,,,,,
IR14D196,4461507,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 93,4789067,IRRI,,,,,,,,,
IR15A2890,300080655,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 72-PRN 1,4815636,IRRI,,,,,,,,,
IR 106432-B-B-B-B-27,300233778,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 119,4789093,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 211-PRN 1,4815698,IRRI,,,,,,,,,
IR11A303,3023555,IRRI,,,,,,,,,
IR 105479:110-15,4224038,IRRI,,,,,,,,,
IR 100120-B-B-B-B-35,300038148,IRRI,,,,,,,,,
IR15A3400,300172108,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-16,4229236,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-36,300293491,IRRI,,,,,,,,,
IR 96730-36-3-1-3,4229225,IRRI,,,,,,,,,
IR13A116,3659037,IRRI,,,,,,,,,
IR13N141,3592179,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 51-PRN 1,4815629,IRRI,,,,,,,,,
IR14A215,4229180,IRRI,,,,,,,,,
IR11A481,3219003,IRRI,,,,,,,,,
IR 106236-B-B-131,4536078,IRRI,,,,,,,,,
IR15A3345,300170971,IRRI,,,,,,,,,
IR15A2904,300080673,IRRI,,,,,,,,,
IR 105479:82-19,4220114,IRRI,,,,,,,,,
IR 95928-54-3-2-3-2,4214753,IRRI,,,,,,,,,
IR15A3354,300170981,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 182-PRN 1,4815772,IRRI,,,,,,,,,
PIR-26>C0-610-1-1-1-3,4537101,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 228-PRN 1,4815708,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-473-1,300431111,IRRI,,,,,,,,,
IR12A289,3427045,IRRI,,,,,,,,,
IR 99107-B-B-B-B-9,300040781,IRRI,,,,,,,,,
IR15A2891,300080656,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-337-1,300431094,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-37,4229272,IRRI,,,,,,,,,
IR 106432-B-B-B-B-33,300233784,IRRI,,,,,,,,,
IR 96730-36-3-1-1,4229223,IRRI,,,,,,,,,
IR15A3636,300173227,IRRI,,,,,,,,,
IRRI 119,447391,IRRI,,,,,,,,,
IR15A3836,300174296,IRRI,,,,,,,,,
IR 105479:82-20,4220115,IRRI,,,,,,,,,
IR11A193,2971770,IRRI,,,,,,,,,
IR15A3840,300174301,IRRI,,,,,,,,,
IR12N240,3427099,IRRI,,,,,,,,,
IR15A3856,300174381,IRRI,,,,,,,,,
IR 95928-54-3-2-3-3,4214754,IRRI,,S,,S,S,S,S,S,
IR 93696-38-1-2-2-B,4228918,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-39,4229273,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 61-PRN 1,4815632,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-27,4229267,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-483-1,300431117,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 39-PRN 1,4815619,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-388-1,300431097,IRRI,,,,,,,,,
IR15A3274,300170640,IRRI,,,,,,,,,
IR15A3493,300172909,IRRI,,,,,,,,,
IR11A483,3219008,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 207,4789181,IRRI,,,,,,,,,
IR 104006:4-3-B RGA-B RGA-B RGA-37,300034025,IRRI,,,,,,,,,
IR15A3837,300174297,IRRI,,,,,,,,,
IR15A3865,300174409,IRRI,,,,,,,,,
IR15A3872,300174432,IRRI,,,,,,,,,
IR15A3359,300170988,IRRI,,,,,,,,,
IR 106432-B-B-B-B-7,300233758,IRRI,,,,,,,,,
IR 105479:82-25,4220120,IRRI,,,,,,,,,
IR13R1004,300172379,IRRI,,,,,,,,,
IR15A3421,300172678,IRRI,,,,,,,,,
IR15A2896,300080662,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 118,4789359,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-16,4229259,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 62-PRN 1,4815633,IRRI,,,,,,,,,
IR 106452-B-B-B-PRN B-PRN B-PRN 241-PRN 1,4815873,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 38-PRN 1,4815618,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-272-1,300431083,IRRI,,,,,,,,,
IR15A3905,300174535,IRRI,,,,,,,,,
IR13A106,3658871,IRRI,,,,,,,,,
IR12A340,3523061,IRRI,,,,,,,,,
IR12A342,3523067,IRRI,,,,,,,,,
IR15A3842,300174303,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 163-PRN 1,4815683,IRRI,,,,,,,,,
IR 110631-B-B-B-1-1,4226314,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-240-1,300431082,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 220-PRN 1,4815705,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 241-PRN 1,4815715,IRRI,,,,,,,,,
PIR-26>C0-610-1-1-2-1,4537102,IRRI,,,,,,,,,
IR15R1022,300253623,IRRI,,,,,,,,,
IR 93684-28-2-3-2-3,4228910,IRRI,,,,,,,,,
IR15A3773,300174052,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 53,4789027,IRRI,,,,,,,,,
IR15A1211,4390455,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 14,4788988,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 15-PRN 1,4815725,IRRI,,,,,,,,,
IR15A3812,300174229,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-51,300293506,IRRI,,,,,,,,,
IR11A334,3023039,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 46-PRN 1,4815626,IRRI,,,,,,,,,
IR15A3789,300174143,IRRI,,,,,,,,,
IR 110631-B-B-B-8-1,4226342,IRRI,,,,,,,,,
IR12N253,3425605,IRRI,,,,,,,,,
IR15A3784,300174120,IRRI,,,,,,,,,
IR14A126,4228953,IRRI,,,,,,,,,
IR13R1002,4341194,IRRI,,,,,,,,,
IR15D114,4535975,IRRI,,,,,,,,,
IR15A2901,300080670,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 40-PRN 1,4815620,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-28,4229240,IRRI,,,,,,,,,
IR 110614-C1-B-B-B-1-1,4226471,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 95,4789069,IRRI,,,,,,,,,
IR 93683-86-3-2-2-1,4228886,IRRI,,,,,,,,,
IR 103806:121-B RGA,4194457,IRRI,,,,,,,,,
IR 105479:110-22,4224045,IRRI,,,,,,,,,
IR14A181,4229144,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-18,4229237,IRRI,,,,,,,,,
IR 98430-B-B-B-B-59,300035965,IRRI,,,,,,,,,
IR13A294,3768986,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-181,300293636,IRRI,,,,,,,,,
IR 106432-B-B-B-B-49,300233800,IRRI,,,,,,,,,
IR 105479:132-6,4206425,IRRI,,,,,,,,,
IR12A185,3522660,IRRI,,,,,,,,,
IR15A2905,300080674,IRRI,,,,,,,,,
IR15A3846,300174329,IRRI,,,,,,,,,
IR15A3640,300173237,IRRI,,,,,,,,,
IR15A3149,300170249,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-315-1,300431092,IRRI,,,,,,,,,
IR12N225,3426891,IRRI,,,,,,,,,
IR 106432-B-B-B-B-32,300233783,IRRI,,,,,,,,,
IR 106432-B-B-B-B-34,300233785,IRRI,,,,,,,,,
IR15A3404,300172113,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 25-PRN 1,4815609,IRRI,,,,,,,,,
IR 99982-B-B-B-B-18,300038761,IRRI,,,,,,,,,
PIR-26>C0-641-1-1-2-1,4536984,IRRI,,,,,,,,,
IR 98430-B-B-B-B-75,300035981,IRRI,,,,,,,,,
IR 105479:82-14,4220024,IRRI,,,,,,,,,
IR 100120-B-B-B-B-40,300038153,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-31,4229269,IRRI,,,,,,,,,
IR15A3420,300172677,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 229-PRN 1,4815709,IRRI,,,,,,,,,
IR 93684-28-2-3-2-2,4228909,IRRI,,,,,,,,,
DV 86::IRGC 8840-1,4231429,IRRI,,,,,,,,,
IR 99101-B RGA-B RGA-B RGA-196-1-1,300256578,IRRI,,,,,,,,,
IR 105479:82-10,4220020,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-169-1,300431074,IRRI,,,,,,,,,
IR13A130,3591958,IRRI,,,,,,,,,
IR15A3401,300172109,IRRI,,,,,,,,,
IR15A2894,300080659,IRRI,,,,,,,,,
GSR IR1-DQ130-Y5-Y1,4535118,IRRI,,,,,,,,,
IR09A220,2472088,IRRI,,,,,,,,,
IR 106432-B-B-B-B-29,300233780,IRRI,,,,,,,,,
IR15A3813,300174231,IRRI,,,,,,,,,
IR15A2869,300080624,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-6,4229232,IRRI,,,,,,,,,
IR 105479:82-9,4220019,IRRI,,,,,,,,,
IR 105479:82-1,4220011,IRRI,,,,,,,,,
IR14N141,4228887,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-226-1,300431076,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 119-PRN 1,4815660,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 95-PRN 1,4815642,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-1,4229250,IRRI,,,,,,,,,
IR 99107-B-B-B-B-13,300040785,IRRI,,,,,,,,,
IR15A2982,300167150,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 207-PRN 1,4815695,IRRI,,,,,,,,,
IR15A3413,300172663,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-245,300293700,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-288,300293743,IRRI,,,,,,,,,
IR 106432-B-B-B-B-59,300233810,IRRI,,,,,,,,,
IR15A3433,300172704,IRRI,,,,,,,,,
PIR-26>C0-610-1-1-1-1,4537100,IRRI,,,,,,,,,
IR15A2879,300080635,IRRI,,,,,,,,,
IR13A108,3658884,IRRI,,,,,,,,,
IR12N267,3522950,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-156,300293611,IRRI,,,,,,,,,
IR12A330,3425980,IRRI,,S,,S,S,S,S,S,
IR 99993-B-B RGA-B RGA-B RGA-475-1,300431112,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 199-PRN 1,4815778,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-495-1,300431125,IRRI,,,,,,,,,
IR 106432-B-B-B-B-51,300233802,IRRI,,,,,,,,,
IR15A3450,300172739,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 174,4789148,IRRI,,,,,,,,,
IR 105479:82-22,4220117,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-325,300293780,IRRI,,,,,,,,,
IR15A2876,300080632,IRRI,,,,,,,,,
IR13N147,3592545,IRRI,,,,,,,,,
IR 99107-B-B-B-B-1,300040773,IRRI,,,,,,,,,
IR 100740-90-B-2,4390448,IRRI,,,,,,,,,
IR 105479:82-6,4220016,IRRI,,,,,,,,,
IR15A3793,300174149,IRRI,,,,,,,,,
IR15A2895,300080661,IRRI,,,,,,,,,
IR15A3399,300172099,IRRI,,,,,,,,,
IR15A1638,4390449,IRRI,,,,,,,,,
IR 98430-B-B-B-B-66,300035972,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-12,4229235,IRRI,,,,,,,,,
IR14A157,4229133,IRRI,,,,,,,,,
IR15A3415,300172666,IRRI,,,,,,,,,
IR 105463:8-47-7,4204974,IRRI,,,,,,,,,
IR 106432-B-B-B-B-55,300233806,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-4,4217073,IRRI,,,,,,,,,
IR 105479:132-2,4206421,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-369,300293824,IRRI,,,,,,,,,
IR 106432-B-B-B-B-39,300233790,IRRI,,,,,,,,,
IR 106432-B-B-B-B-12,300233763,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-443-1,300431104,IRRI,,,,,,,,,
IR12A268,3426843,IRRI,,,,,,,,,
IR12A237,3426293,IRRI,,,,,,,,,
IR 103806-525-B RGA,4193151,IRRI,,,,,,,,,
IR 98430-B-B-B-B-13,300035919,IRRI,,,,,,,,,
IR15A3471,300172837,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-19,4229238,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-57,300293512,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 182,4789423,IRRI,,,,,,,,,
IR 110631-B-B-B-1-1-1-2,4537075,IRRI,,,,,,,,,
IR09F169,2707514,IRRI,,,,,,,,,
IR15A3783,300174119,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 161-PRN 1,4815765,IRRI,,,,,,,,,
IR 106432-B-B-B-B-10,300233761,IRRI,,,,,,,,,
IR 106432-B-B-B-B-38,300233789,IRRI,,,,,,,,,
IR 105479:82-12,4220022,IRRI,,,,,,,,,
IR15A2907,300080677,IRRI,,,,,,,,,
IR15A3802,300174184,IRRI,,,,,,,,,
IR 106432-B-B-B-B-53,300233804,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-198,300293653,IRRI,,,,,,,,,
IR 105479:82-7,4220017,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-282-1,300431087,IRRI,,,,,,,,,
IR 100097-B-B RGA-B RGA-158,300294168,IRRI,,,,,,,,,
IR 110631-B-B-B-10-1,4226344,IRRI,,,,,,,,,
IR10A121,2754532,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 163-PRN 1,4815766,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 96-PRN 1,4815745,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-68,300293523,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-193,300293648,IRRI,,,,,,,,,
IR101465-5:14,3887729,IRRI,,,,,,,,,
IR 105463:8-47-24,4204991,IRRI,,,,,,,,,
IR15A3844,300174305,IRRI,,,,,,,,,
IR15A3873,300174435,IRRI,,,,,,,,,
IR 106432-B-B-B-B-24,300233775,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-47,4229275,IRRI,,,,,,,,,
IR15A3849,300174332,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 116-PRN 1,4815751,IRRI,,,,,,,,,
IR10A127,2754563,IRRI,,,,,,,,,
IR 105479:82-8,4220018,IRRI,,,,,,,,,
IR15A3583,300173120,IRRI,,,,,,,,,
IR 99100-B-B-B-B-64,300039963,IRRI,,,,,,,,,
IR13A148,3592469,IRRI,,,,,,,,,
IR15K1560,300173064,IRRI,,,,,,,,,
IR15A3382,300172069,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-17,4229260,IRRI,,,,,,,,,
IR15A3914,300174554,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-38,4229246,IRRI,,,,,,,,,
IR 105479:82-2,4220012,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-362,300293817,IRRI,,,,,,,,,
IR15F2147,300174359,IRRI,,,,,,,,,
IR 106432-B-B-B-B-4,300233755,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-235,300293690,IRRI,,,,,,,,,
IR15A1659,4390232,IRRI,,,,,,,,,
IR15A3767,300174045,IRRI,,,,,,,,,
IR 97288-86-1-2,4229179,IRRI,,,,,,,,,
IR 105479:100-5,4222186,IRRI,,,,,,,,,
IR12A190,3522934,IRRI,,,,,,,,,
IR 99982-B-B-B-B-8,300038751,IRRI,,,,,,,,,
IR 104008:3-7-B RGA-B RGA-30-1,300430624,IRRI,,,,,,,,,
IR15A2889,300080654,IRRI,,,,,,,,,
IR 106432-B-B-B-B-6,300233757,IRRI,,,,,,,,,
IR 106432-B-B-B-B-21,300233772,IRRI,,,,,,,,,
IR 93339:29-B-7-7-B-B-B-13,4217078,IRRI,,,,,,,,,
IR15A2899,300080667,IRRI,,,,,,,,,
IR 93683-86-3-2-2-3,4214748,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-40,300293495,IRRI,,,,,,,,,
IR15A3758,300173982,IRRI,,,,,,,,,
IR 96441 H,4534808,IRRI,,,,,,,,,
IR 98430-B-B-B-B-54,300035960,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-87,300293542,IRRI,,,,,,,,,
IR 99107-B-B-B-B-28,300040800,IRRI,,,,,,,,,
IR 100112-B-B-B-B-52,300038031,IRRI,,,,,,,,,
IR 106432-B-B-B-B-11,300233762,IRRI,,,,,,,,,
IR13N118,3659160,IRRI,,,,,,,,,
IR101465-5:33,300172380,IRRI,,,,,,,,,
IR13R1009,300172372,IRRI,,,,,,,,,
IR14A139,4228930,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-424,300293879,IRRI,,,,,,,,,
IR13R1001,4341192,IRRI,,,,,,,,,
IR 99100-B-B-B-B-44,300039943,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-162,300293617,IRRI,,,,,,,,,
IR13A273,3768941,IRRI,,,,,,,,,
IR 105479:121-20,4218611,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-8,4217104,IRRI,,,,,,,,,
IR13R1007,4341199,IRRI,,,,,,,,,
IR 95914-61-1-3-2-2,4214751,IRRI,,S,,S,S,R,S,S,
IR 106432-B-B-B-B-45,300233796,IRRI,,,,,,,,,
IR 105479:132-4,4206423,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-21,4217110,IRRI,,,,,,,,,
IR 106432-B-B-B-B-36,300233787,IRRI,,,,,,,,,
IR 103328-B-B RGA-B RGA-292-1,300430535,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-26,4229266,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-27,300293482,IRRI,,,,,,,,,
IR 99107-B-B-B-B-75,300040847,IRRI,,,,,,,,,
IR 98430-B-B-B-B-31,300035937,IRRI,,,,,,,,,
IR 105479:121-6,4218427,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-75,300293530,IRRI,,,,,,,,,
IR13N158,3806777,IRRI,,,,,,,,,
IR 98430-B-B-B-B-12,300035918,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 181-PRN 1,4815771,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-128,300293583,IRRI,,,,,,,,,
IR15A3766,300174044,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-344,300293799,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-372,300293827,IRRI,,,,,,,,,
IR14A147,4229194,IRRI,,,,,,,,,
IR 105479:82-18,4220028,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-341,300293796,IRRI,,,,,,,,,
IR 110631-B-B-B-2-1,4226315,IRRI,,,,,,,,,
IR 110631-B-B-B-1-1-3-1,4537076,IRRI,,,,,,,,,
IR 100097-B-B RGA-B RGA-135,300294145,IRRI,,,,,,,,,
IR 106432-B-B-B-B-40,300233791,IRRI,,,,,,,,,
IR 105463:8-47-22,4204989,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 180-PRN 1,4815770,IRRI,,,,,,,,,
IR 106432-B-B-B-B-3,300233754,IRRI,,,,,,,,,
IR 105463:8-47-20,4204987,IRRI,,,,,,,,,
IR 107834 H,4534796,IRRI,,,,,,,,,
IR13A102,3658781,IRRI,,,,,,,,,
IR 105463:8-47-15,4204982,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-101,300293556,IRRI,,,,,,,,,
IR 103294-B-B-B-B-25-1,300279934,IRRI,,,,,,,,,
IR15A2994,300167173,IRRI,,,,,,,,,
IR 100124-B-B-B-B-65,300038418,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-175,300293630,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-25,300293480,IRRI,,,,,,,,,
IR 105479:100-4,4222185,IRRI,,,,,,,,,
IR 106432-B-B-B-B-13,300233764,IRRI,,,,,,,,,
IR 105463:53-28-11,4209883,IRRI,,,,,,,,,
IR 105479:121-13,4218434,IRRI,,,,,,,,,
IR13A269,3768936,IRRI,,,,,,,,,
IR12A341,3523065,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-48,300293503,IRRI,,,,,,,,,
IR 99107-B-B-B-B-24,300040796,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-36,4217115,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-19,300293474,IRRI,,,,,,,,,
IR13A256,3768919,IRRI,,,,,,,,,
IR 106432-B-B-B-B-18,300233769,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-359,300293814,IRRI,,,,,,,,,
IR15A2957,300167090,IRRI,,,,,,,,,
IR05N412,1402302,IRRI,,,,,,,,,
IR 100085-B-B-B-B-13-1,300251588,IRRI,,,,,,,,,
IR 110631-B-B-B-6-1,4226318,IRRI,,,,,,,,,
IR 96864-73-3-3,4229161,IRRI,,,,,,,,,
IR15A3370,300171003,IRRI,,,,,,,,,
IR 106236-B-B-B-PRN B-PRN B-PRN 41-PRN 1,4815621,IRRI,,,,,,,,,
IR 110631-B-B-B-11-1,4226346,IRRI,,,,,,,,,
IR15A1533,4390447,IRRI,,,,,,,,,
IR 93339:39-B-6-5-B-B-B-22,4229262,IRRI,,,,,,,,,
IR 105479:153-5,4215260,IRRI,,,,,,,,,
IR 106447-B-B-B-PRN B-PRN B-PRN 86-PRN 1,4815740,IRRI,,,,,,,,,
IR 99993-B-B RGA-B RGA-B RGA-178,300293633,IRRI,,,,,,,,,
IR 98430-B-B-B-B-76,300035982,IRRI,,,,,,,,,
IR14A162,4229145,IRRI,,,,,,,,,
